class,index,output,seed,prompt,frames,steps,guidance,size,lora_path,lora_scale
Meet and Split,7,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos_simple/Meet_and_Split/meet_and_split_07.mp4,213377469,Two strangers meet briefly and then split apart.,61,32,6.0,832x480,,
Meet and Split,8,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos_simple/Meet_and_Split/meet_and_split_08.mp4,1444748781,Two friends meet briefly and then split apart.,61,32,6.0,832x480,,
Meet and Split,9,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos_simple/Meet_and_Split/meet_and_split_09.mp4,50151611,Two friends meet briefly and then split apart.,61,32,6.0,832x480,,
Sitting,0,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos_simple/Sitting/sitting_00.mp4,2010296923,A woman is sitting.,61,32,6.0,832x480,,
Sitting,1,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos_simple/Sitting/sitting_01.mp4,515475437,A boy is sitting.,61,32,6.0,832x480,,
Sitting,2,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos_simple/Sitting/sitting_02.mp4,592283624,A boy is sitting.,61,32,6.0,832x480,,
Sitting,3,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos_simple/Sitting/sitting_03.mp4,1525105929,A woman is sitting.,61,32,6.0,832x480,,
Sitting,4,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos_simple/Sitting/sitting_04.mp4,1116960182,A man is sitting.,61,32,6.0,832x480,,
Sitting,5,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos_simple/Sitting/sitting_05.mp4,1097304400,A man is sitting.,61,32,6.0,832x480,,
Sitting,6,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos_simple/Sitting/sitting_06.mp4,1428304211,A woman is sitting.,61,32,6.0,832x480,,
Sitting,7,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos_simple/Sitting/sitting_07.mp4,1580901833,A teenager is sitting.,61,32,6.0,832x480,,
Sitting,8,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos_simple/Sitting/sitting_08.mp4,427386129,An elderly person is sitting.,61,32,6.0,832x480,,
Sitting,9,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos_simple/Sitting/sitting_09.mp4,307217101,A woman is sitting.,61,32,6.0,832x480,,
Standing Still,0,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos_simple/Standing_Still/standing_still_00.mp4,1321705027,A woman is standing still.,61,32,6.0,832x480,,
Standing Still,1,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos_simple/Standing_Still/standing_still_01.mp4,1467185915,A boy is standing still.,61,32,6.0,832x480,,
Standing Still,2,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos_simple/Standing_Still/standing_still_02.mp4,622132220,An office worker is standing still.,61,32,6.0,832x480,,
Standing Still,3,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos_simple/Standing_Still/standing_still_03.mp4,1441619599,A teenager is standing still.,61,32,6.0,832x480,,
Standing Still,4,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos_simple/Standing_Still/standing_still_04.mp4,1593856079,An office worker is standing still.,61,32,6.0,832x480,,
Standing Still,5,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos_simple/Standing_Still/standing_still_05.mp4,1226792330,A person is standing still.,61,32,6.0,832x480,,
Standing Still,6,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos_simple/Standing_Still/standing_still_06.mp4,1140297922,An office worker is standing still.,61,32,6.0,832x480,,
Standing Still,7,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos_simple/Standing_Still/standing_still_07.mp4,701214318,A student is standing still.,61,32,6.0,832x480,,
Standing Still,8,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos_simple/Standing_Still/standing_still_08.mp4,132430321,A person is standing still.,61,32,6.0,832x480,,
Standing Still,9,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos_simple/Standing_Still/standing_still_09.mp4,1572208905,A man is standing still.,61,32,6.0,832x480,,
Walking,0,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos_simple/Walking/walking_00.mp4,492100204,A man is walking.,61,32,6.0,832x480,,
Walking,1,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos_simple/Walking/walking_01.mp4,248291228,An office worker is walking.,61,32,6.0,832x480,,
Walking,2,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos_simple/Walking/walking_02.mp4,104180830,A child is walking.,61,32,6.0,832x480,,
Walking,3,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos_simple/Walking/walking_03.mp4,1150529096,An elderly person is walking.,61,32,6.0,832x480,,
Walking,4,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos_simple/Walking/walking_04.mp4,706742364,An elderly person is walking.,61,32,6.0,832x480,,
Walking,5,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos_simple/Walking/walking_05.mp4,1991242633,A child is walking.,61,32,6.0,832x480,,
Walking,6,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos_simple/Walking/walking_06.mp4,1500121359,A teenager is walking.,61,32,6.0,832x480,,
Walking,7,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos_simple/Walking/walking_07.mp4,227708540,A girl is walking.,61,32,6.0,832x480,,
Walking,8,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos_simple/Walking/walking_08.mp4,1820497728,A girl is walking.,61,32,6.0,832x480,,
Walking,9,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos_simple/Walking/walking_09.mp4,453825466,A child is walking.,61,32,6.0,832x480,,
Walking While Reading Book,0,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos_simple/Walking_While_Reading_Book/walking_while_reading_book_00.mp4,1308829395,A woman is walking while reading a book.,61,32,6.0,832x480,,
Walking While Reading Book,1,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos_simple/Walking_While_Reading_Book/walking_while_reading_book_01.mp4,1799298702,An elderly person is walking while reading a book.,61,32,6.0,832x480,,
Walking While Reading Book,2,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos_simple/Walking_While_Reading_Book/walking_while_reading_book_02.mp4,1270892026,A student is walking while reading a book.,61,32,6.0,832x480,,
Walking While Reading Book,3,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos_simple/Walking_While_Reading_Book/walking_while_reading_book_03.mp4,197042260,A person is walking while reading a book.,61,32,6.0,832x480,,
Walking While Reading Book,4,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos_simple/Walking_While_Reading_Book/walking_while_reading_book_04.mp4,270728033,A woman is walking while reading a book.,61,32,6.0,832x480,,
Walking While Reading Book,5,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos_simple/Walking_While_Reading_Book/walking_while_reading_book_05.mp4,1280354545,A student is walking while reading a book.,61,32,6.0,832x480,,
Walking While Reading Book,6,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos_simple/Walking_While_Reading_Book/walking_while_reading_book_06.mp4,640521297,An elderly person is walking while reading a book.,61,32,6.0,832x480,,
Walking While Reading Book,7,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos_simple/Walking_While_Reading_Book/walking_while_reading_book_07.mp4,1575710272,A child is walking while reading a book.,61,32,6.0,832x480,,
Walking While Reading Book,8,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos_simple/Walking_While_Reading_Book/walking_while_reading_book_08.mp4,155296015,A man is walking while reading a book.,61,32,6.0,832x480,,
Walking While Reading Book,9,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos_simple/Walking_While_Reading_Book/walking_while_reading_book_09.mp4,2062687213,A child is walking while reading a book.,61,32,6.0,832x480,,
Walking While Using Phone,0,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos_simple/Walking_While_Using_Phone/walking_while_using_phone_00.mp4,1437999910,A boy is walking while using a phone.,61,32,6.0,832x480,,
Walking While Using Phone,1,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos_simple/Walking_While_Using_Phone/walking_while_using_phone_01.mp4,537894627,A student is walking while using a phone.,61,32,6.0,832x480,,
Walking While Using Phone,2,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos_simple/Walking_While_Using_Phone/walking_while_using_phone_02.mp4,2070181937,A girl is walking while using a phone.,61,32,6.0,832x480,,
Walking While Using Phone,3,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos_simple/Walking_While_Using_Phone/walking_while_using_phone_03.mp4,1279390404,An elderly person is walking while using a phone.,61,32,6.0,832x480,,
Walking While Using Phone,4,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos_simple/Walking_While_Using_Phone/walking_while_using_phone_04.mp4,219269589,A child is walking while using a phone.,61,32,6.0,832x480,,
Walking While Using Phone,5,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos_simple/Walking_While_Using_Phone/walking_while_using_phone_05.mp4,975226453,An office worker is walking while using a phone.,61,32,6.0,832x480,,
Walking While Using Phone,6,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos_simple/Walking_While_Using_Phone/walking_while_using_phone_06.mp4,493430606,A student is walking while using a phone.,61,32,6.0,832x480,,
Walking While Using Phone,7,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos_simple/Walking_While_Using_Phone/walking_while_using_phone_07.mp4,1100858040,A teenager is walking while using a phone.,61,32,6.0,832x480,,
Walking While Using Phone,8,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos_simple/Walking_While_Using_Phone/walking_while_using_phone_08.mp4,1758488804,A boy is walking while using a phone.,61,32,6.0,832x480,,
Walking While Using Phone,9,/home/ashmal/Courses/CVS/Assignment_8/Wan2.1/videos/har_videos_simple/Walking_While_Using_Phone/walking_while_using_phone_09.mp4,536968691,A woman is walking while using a phone.,61,32,6.0,832x480,,
